Proponente,Nome Progetto,Procedura,Cartella,Tipo,Nome Impianto,Localita,Regione,Marca,modello,MWp,Altezza Totale,Mozzo,Lama,Diametro,Longitudine,Latitudine,Altitudine,Catastale,Particella,Note,Doc Origine,Lat Converted,Long Converted
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G1,Orune,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526391,4478279,776,,,,SIA_CA_R001_Rev1.pdf,40.45475433,9.31124830
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G10,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,533026,4477453,818,,,,SIA_CA_R001_Rev1.pdf,40.44707581,9.38945519
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G11,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,533419,4477718,824,,,,SIA_CA_R001_Rev1.pdf,40.44944746,9.39410344
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G12,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,533786,4478014,821,,,,SIA_CA_R001_Rev1.pdf,40.45209925,9.39844704
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G13,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,534561,4478086,834,,,,SIA_CA_R001_Rev1.pdf,40.45271603,9.40759052
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G2,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,525263,4479691,849,,,,SIA_CA_R001_Rev1.pdf,40.46751003,9.29800136
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G3,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,525752,4480039,826,,,,SIA_CA_R001_Rev1.pdf,40.47063013,9.30378363
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G4,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526837,4479390,789,,,,SIA_CA_R001_Rev1.pdf,40.46474898,9.31655521
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G5,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,526013,4480465,826,,,,SIA_CA_R001_Rev1.pdf,40.47445980,9.30687995
Siemens Gamesa Renewable Energy Italy S.p.A.,Gomoretta,3898,1735,Eolico,G6,Bitti,Barbagia di Nuoro,Siemens Gamesa,G128,"3,47",150,84,"64,29",132,534700,4478668,806,,,,SIA_CA_R001_Rev1.pdf,40.45795339,9.40926157
